Wall Street/ Pier 11,Brooklyn Navy Yard,East 34th Street,Long Island City Gantry Plaza,Roosevelt Island,Astoria,East 90th Street
6:22 AM,6:34 AM,6:49 AM,6:56 AM,7:02 AM,7:10 AM,7:14 AM
7:00 AM,7:12 AM,7:27 AM,7:34 AM,7:40 AM,7:48 AM,7:52 AM
7:38 AM,7:50 AM,8:05 AM,8:12 AM,8:18 AM,8:26 AM,8:30 AM
8:16 AM,8:28 AM,8:43 AM,8:50 AM,8:56 AM,9:04 AM,9:08 AM
8:54 AM,9:06 AM,9:21 AM,9:28 AM,9:34 AM,9:42 AM,9:46 AM
9:32 AM,9:44 AM,9:59 AM,10:06 AM,10:12 AM,10:20 AM,10:24 AM
10:29 AM,10:41 AM,10:56 AM,11:03 AM,11:09 AM,11:17 AM,11:21 AM
11:26 AM,11:38 AM,11:53 AM,12:00 PM,12:06 PM,12:14 PM,12:18 PM
12:23 PM,12:35 PM,12:50 PM,12:57 PM,1:03 PM,1:11 PM,1:15 PM
1:20 PM,1:32 PM,1:47 PM,1:54 PM,2:00 PM,2:08 PM,2:12 PM
2:17 PM,2:29 PM,2:44 PM,2:51 PM,2:57 PM,3:05 PM,3:09 PM
3:17 PM,3:29 PM,3:44 PM,3:51 PM,3:57 PM,4:05 PM,4:09 PM
4:11 PM,4:23 PM,4:38 PM,4:45 PM,4:51 PM,4:59 PM,5:03 PM
4:49 PM,5:01 PM,5:16 PM,5:23 PM,5:29 PM,5:37 PM,5:41 PM
5:27 PM,5:39 PM,5:54 PM,6:01 PM,6:07 PM,6:15 PM,6:19 PM
6:05 PM,6:17 PM,6:32 PM,6:39 PM,6:45 PM,6:53 PM,6:57 PM
6:43 PM,6:55 PM,7:10 PM,7:17 PM,7:23 PM,7:31 PM,7:35 PM
7:21 PM,7:33 PM,7:48 PM,7:55 PM,8:01 PM,8:09 PM,8:13 PM
7:59 PM,8:11 PM,8:26 PM,8:33 PM,8:39 PM,8:47 PM,8:51 PM
8:37 PM,8:49 PM,9:04 PM,9:11 PM,9:17 PM,9:25 PM,9:29 PM
9:15 PM,9:27 PM,9:42 PM,9:49 PM,9:55 PM,10:03 PM,10:07 PM
