East 90th Street,Astoria,Roosevelt Island,Long Island City,East 34th Street,Brooklyn Navy Yard,Wall Street/ Pier 11
8:00 AM,8:06 AM,8:14 AM,8:20 AM,8:27 AM,8:41 AM,8:51 AM
8:57 AM,9:03 AM,9:11 AM,9:17 AM,9:24 AM,9:38 AM,9:48 AM
9:54 AM,10:00 AM,10:08,10:14 AM,10:21 AM,10:35 AM,10:45 AM
10:51 AM,10:57 AM,11:05 AM,11:11 AM,11:18 AM,11:32 AM,11:42 AM
11:29 AM,11:35 AM,11:43 AM,11:49 AM,11:56 AM,12:10 PM,12:20 PM
12:07 PM,12:13 PM,12:21 PM,12:27 PM,12:34 PM,12:48 PM,12:58 PM
12:45 PM,12:51 PM,12:59 PM,1:05 PM,1:12 PM,1:26 PM,1:36 PM
1:23 PM,1:29 PM,1:37 PM,1:43 PM,1:50 PM,2:04 PM,2:14 PM
2:01 PM,2:07 PM,2:15 PM,2:21 PM,2:28 PM,2:42 PM,2:52 PM
2:39 PM,2:45 PM,2:53 PM,2:59 PM,3:06 PM,3:20 PM,3:30 PM
3:17 PM,3:23 PM,3:31 PM,3:37 PM,3:44 PM,3:58 PM,4:08 PM
3:55 PM,4:01 PM,4:09 PM,4:15 PM,4:22 PM,4:36 PM,4:46 PM
4:33 PM,4:39 PM,4:47 PM,4:53 PM,5:00 PM,5:14 PM,5:24 PM
5:11 PM,5:17 PM,5:25 PM,5:31 PM,5:38 PM,5:52 PM,6:02 PM
5:49 PM,5:55 PM,6:03 PM,6:09 PM,6:16 PM,6:30 PM,6:40 PM
6:27 PM,6:33 PM,6:41 PM,6:47 PM,6:54 PM,7:08 PM,7:18 PM
7:05 PM,7:11 PM,7:19 PM,7:25 PM,7:32 PM,7:46 PM,7:56 PM
7:43 PM,7:49 PM,7:57 PM,8:03 PM,8:10 PM,8:24 PM,8:34 PM
8:21 PM,8:27 PM,8:35 PM,8:41 PM,8:48 PM,9:02 PM,9:12 PM
8:59 PM,9:05 PM,9:13 PM,9:19 PM,9:26 PM,9:40 PM,9:50 PM
